epoch,time,loss,accuracy,f1,split
1,637.792454957962,0.1351117477561257,0.9491009454284348,0.9487035087902276,train
1,53.28395175933838,0.062356971303109,0.9803080066589148,0.0083772140493114,val
1,639.7596771717072,0.1348521044786001,0.9488336915901942,0.9468669781899156,train
1,53.44341564178467,0.0593426050563027,0.9824621473961096,0.0071006861812706,val
1,640.2254614830017,0.1310917067509167,0.9508399652943992,0.9501547866129544,train
1,53.06184983253479,0.0755016448378815,0.9737558285832804,0.0100526568591737,val
1,640.1932625770569,0.1356164192662276,0.948850376974629,0.9460318024342014,train
1,53.10948729515076,0.0947235904304109,0.96877991862135,0.0098133079169069,val
1,639.4712641239166,0.1282760377549492,0.9518571984202968,0.950994037548254,train
1,53.47243809700012,0.08248337806640588,0.9749703030086351,0.007978299064691012,val
